Month,Number of users
"May 31, 2017",14191518
"May 16, 2017",13754432
"May 01, 2017",13419295
"Apr 16, 2017",13157931
"Apr 01, 2017",12905207
"Mar 17, 2017",12639003
"Mar 02, 2017",12352066
"Feb 15, 2017",12009557
"Jan 31, 2017",11676600
"Jan 16, 2017",11353117
"Jan 01, 2017",10992405
"Dec 17, 2016",10691889
"Dec 02, 2016",10314020
"Nov 17, 2016",9919854
"Nov 02, 2016",9559978
"Oct 18, 2016",9263916
"Oct 03, 2016",8999227
"Sep 18, 2016",8765726
"Sep 03, 2016",8555129
"Aug 19, 2016",8364568
"Aug 04, 2016",8183832
"Jul 20, 2016",8015050
"Jul 05, 2016",7846764
"Jun 20, 2016",7681746
"Jun 05, 2016",7514984
"May 21, 2016",7307727
"May 06, 2016",7116743
"Apr 21, 2016",6910345
"Apr 06, 2016",6737269
"Mar 22, 2016",6530896
"Mar 07, 2016",6319893
"Feb 21, 2016",6130000
"Feb 06, 2016",5953042
"Jan 22, 2016",5780498
"Jan 07, 2016",5528591
"Dec 23, 2015",5343955
"Dec 08, 2015",5132084
"Nov 23, 2015",4945865
"Nov 08, 2015",4782986
"Oct 24, 2015",4619591
"Oct 09, 2015",4478025
"Sep 24, 2015",4325864
"Sep 09, 2015",4208444
"Aug 25, 2015",4113830
"Aug 10, 2015",3961954
"Jul 26, 2015",3865405
"Jul 11, 2015",3739207
"Jun 26, 2015",3637953
"Jun 11, 2015",3551064
"May 27, 2015",3472705
"May 12, 2015",3391659
"Apr 27, 2015",3315533
"Apr 12, 2015",3239625
"Mar 28, 2015",3161766
"Mar 13, 2015",3094389
"Feb 26, 2015",3020872
"Feb 11, 2015",2922162
"Jan 27, 2015",2849577
"Jan 12, 2015",2779043
"Dec 28, 2014",2710429
"Dec 13, 2014",2643050
"Nov 28, 2014",2569340
"Nov 13, 2014",2493727
"Oct 29, 2014",2417787
"Oct 14, 2014",2342157
"Sep 29, 2014",2267085
"Sep 14, 2014",2193477
"Aug 30, 2014",2107985
"Aug 15, 2014",2027773
"Jul 31, 2014",1937615
"Jul 16, 2014",1860837
"Jul 01, 2014",1795938
"Jun 16, 2014",1735471
"Jun 01, 2014",1675841
"May 17, 2014",1620557
"May 02, 2014",1568687
"Apr 17, 2014",1512017
"Apr 02, 2014",1455667
"Mar 18, 2014",1395653
"Mar 03, 2014",1334887
"Feb 16, 2014",1256708
"Feb 01, 2014",1169501
"Jan 17, 2014",1069475
"Jan 02, 2014",976051
"Dec 18, 2013",888153
"Dec 03, 2013",755687
"Nov 18, 2013",583044
"Nov 03, 2013",521533
"Oct 19, 2013",480756
"Oct 04, 2013",458047
"Sep 19, 2013",437254
"Sep 04, 2013",419671
"Aug 20, 2013",398725
"Aug 05, 2013",376431
"Jul 21, 2013",358155
"Jul 06, 2013",341371
"Jun 21, 2013",320559
"Jun 06, 2013",301864
"May 22, 2013",281617
"May 07, 2013",258958
"Apr 22, 2013",233959
"Apr 07, 2013",189100
"Mar 23, 2013",151985
"Mar 08, 2013",134908
"Feb 21, 2013",121141
"Feb 06, 2013",108911
"Jan 22, 2013",97978
"Jan 07, 2013",82264
"Dec 23, 2012",70669
"Dec 08, 2012",49068
"Nov 23, 2012",43500
"Nov 08, 2012",38724
"Oct 24, 2012",34857
"Oct 09, 2012",30263
"Sep 24, 2012",25702
"Sep 09, 2012",22353
"Aug 25, 2012",19477
"Aug 10, 2012",16625
"Jul 26, 2012",14609
"Jul 11, 2012",12257
"Jun 26, 2012",10473
"Jun 11, 2012",8946
"May 27, 2012",7697
"May 12, 2012",6612
"Apr 27, 2012",5566
"Apr 12, 2012",4348
"Mar 28, 2012",3415
"Mar 13, 2012",2794
"Feb 27, 2012",2213
"Feb 12, 2012",1772
"Jan 28, 2012",1242
"Jan 13, 2012",740
"Dec 29, 2011",400
"Dec 14, 2011",153
"Nov 29, 2011",2
